[2026-08-21T01:06:22.200Z] GET http://localhost:8765/ → 200 (9ms, 6072B)
[2026-08-21T01:06:22.219Z] GET http://localhost:8765/css/style.css → 200 (2ms, 5644B)
[2026-08-21T01:06:22.220Z] GET http://localhost:8765/js/utils.js → 200 (73ms, 3219B)
[2026-08-21T01:06:22.220Z] GET http://localhost:8765/js/zobrist.js → 200 (79ms, 6279B)
[2026-08-21T01:06:22.220Z] GET http://localhost:8765/js/pieces.js → 200 (80ms, 13444B)
[2026-08-21T01:06:22.220Z] GET http://localhost:8765/js/board.js → 200 (80ms, 12150B)
[2026-08-21T01:06:22.220Z] GET http://localhost:8765/js/ai/random.js → 200 (81ms, 519B)
[2026-08-21T01:06:22.221Z] GET http://localhost:8765/js/ai/greedy.js → 200 (79ms, 4627B)
[2026-08-21T01:06:22.221Z] GET http://localhost:8765/js/ai/minimax.js → 200 (80ms, 6746B)
[2026-08-21T01:06:22.221Z] GET http://localhost:8765/js/ai/mcts.js → 200 (80ms, 7990B)
[2026-08-21T01:06:22.221Z] GET http://localhost:8765/js/ai/hybrid.js → 200 (81ms, 8526B)
[2026-08-21T01:06:22.221Z] GET http://localhost:8765/js/game.js → 200 (81ms, 8691B)
[2026-08-21T01:06:22.221Z] GET http://localhost:8765/js/main.js → 200 (80ms, 9790B)
[2026-08-21T01:23:36.623Z] GET http://localhost:8765/ → 200 (28ms, ?B)
[2026-08-21T01:23:36.707Z] GET http://localhost:8765/css/style.css → 200 (4ms, -185B)
[2026-08-21T01:23:36.709Z] GET http://localhost:8765/js/utils.js → 200 (?ms, -192B)
[2026-08-21T01:23:36.709Z] GET http://localhost:8765/js/zobrist.js → 304 (3ms, ?B)
[2026-08-21T01:23:36.709Z] GET http://localhost:8765/js/pieces.js → 304 (3ms, ?B)
[2026-08-21T01:23:36.709Z] GET http://localhost:8765/js/board.js → 200 (3ms, 13142B)
[2026-08-21T01:23:36.709Z] GET http://localhost:8765/js/ai/random.js → 200 (?ms, -191B)
[2026-08-21T01:23:36.710Z] GET http://localhost:8765/js/ai/greedy.js → 200 (?ms, -192B)
[2026-08-21T01:23:36.710Z] GET http://localhost:8765/js/ai/minimax.js → 304 (3ms, ?B)
[2026-08-21T01:23:36.710Z] GET http://localhost:8765/js/ai/mcts.js → 304 (3ms, ?B)
[2026-08-21T01:23:36.710Z] GET http://localhost:8765/js/ai/hybrid.js → 304 (3ms, ?B)
[2026-08-21T01:23:36.710Z] GET http://localhost:8765/js/game.js → 304 (3ms, ?B)
[2026-08-21T01:23:36.711Z] GET http://localhost:8765/js/main.js → 304 (2ms, ?B)
[2026-08-21T01:56:25.299Z] GET http://localhost:8765/ → 200 (72ms, ?B)
[2026-08-21T01:56:25.498Z] GET http://localhost:8765/css/style.css → 200 (?ms, -185B)
[2026-08-21T01:56:25.498Z] GET http://localhost:8765/js/utils.js → 200 (?ms, -192B)
[2026-08-21T01:56:25.498Z] GET http://localhost:8765/js/zobrist.js → 304 (4ms, ?B)
[2026-08-21T01:56:25.498Z] GET http://localhost:8765/js/pieces.js → 304 (4ms, ?B)
[2026-08-21T01:56:25.498Z] GET http://localhost:8765/js/board.js → 304 (4ms, ?B)
[2026-08-21T01:56:25.498Z] GET http://localhost:8765/js/ai/random.js → 200 (?ms, -191B)
[2026-08-21T01:56:25.499Z] GET http://localhost:8765/js/ai/greedy.js → 200 (?ms, -192B)
[2026-08-21T01:56:25.499Z] GET http://localhost:8765/js/ai/minimax.js → 304 (3ms, ?B)
[2026-08-21T01:56:25.499Z] GET http://localhost:8765/js/ai/mcts.js → 304 (3ms, ?B)
[2026-08-21T01:56:25.500Z] GET http://localhost:8765/js/ai/hybrid.js → 304 (2ms, ?B)
[2026-08-21T01:56:25.500Z] GET http://localhost:8765/js/game.js → 200 (2ms, 10088B)
[2026-08-21T01:56:25.500Z] GET http://localhost:8765/js/main.js → 304 (3ms, ?B)
